STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ARIZONA,04,0401870,Chandler Unified District #80,040187000123,Chandler High School,770,94,20,GE80,65,GE95,72,90-94,295,90-94,.,.,314,95,73,80-84,315,90,5,PS,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187001677,Hamilton High School,860,98,17,GE80,111,GE95,76,GE95,172,GE95,.,.,480,98,67,85-89,200,GE95,7,GE50,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187002250,Basha High School,619,92,10,GE50,38,80-89,40,GE90,105,85-89,.,.,424,93,63,70-74,109,85-89,1,PS,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187002806,Perry High School,554,97,.,.,43,GE90,26,GE80,76,GE95,.,.,406,96,50,70-79,78,90-94,.,.,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187002822,Arizona College Prep Erie Campus,20,GE80,.,.,.,.,2,PS,1,PS,.,.,17,GE80,.,.,2,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187002939,Ken 'Chief' Hill Learning Academy,102,LE5,2,PS,4,PS,11,LT50,57,LE10,.,.,27,LE20,7,LT50,51,LE10,2,PS,30AUG15,29AUG15
ARIZONA,04,0401870,Chandler Unified District #80,040187003306,Chandler Online Academy,16,LE20,.,.,1,PS,1,PS,4,PS,.,.,10,LT50,.,.,4,PS,.,.,30AUG15,29AUG15
ARIZONA,04,0401940,Chinle Unified District,040194000137,Chinle High School,264,57,262,55-59,.,.,.,.,1,PS,.,.,1,PS,45,50-59,.,.,15,LT50,30AUG15,29AUG15
ARIZONA,04,0402110,Clifton Unified District,040211000150,Clifton High School,15,GE50,.,.,.,.,.,.,13,GE50,.,.,1,PS,2,PS,.,.,.,.,30AUG15,29AUG15
ARIZONA,04,0402320,Coolidge Unified District,040232000158,Coolidge High School,181,60-64,35,50-59,.,.,22,40-59,75,60-64,.,.,49,70-79,23,40-59,104,60-64,1,PS,30AUG15,29AUG15
ARIZONA,04,0402320,Coolidge Unified District,040232002896,San Tan Foothills High School,147,65-69,6,GE50,5,PS,13,GE50,46,70-79,.,.,71,65-69,22,GE80,75,70-74,1,PS,30AUG15,29AUG15
ARIZONA,04,0402480,Graham County Special Services,040248001210,Dan Hinton Accommodation School,3,PS,1,PS,.,.,.,.,1,PS,.,.,1,PS,3,PS,1,PS,.,.,30AUG15,29AUG15
